benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
400.perlbench,400.perlbench_1,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_2,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_3,1,121,0,0.107438,0.619835,1.61157,0.165289,0.0165289,1,0,0,1.12397,0, 0.206612, 0.272727
400.perlbench,400.perlbench_4,2,13,0,0.230769,0.538462,1.61538,0.0769231,0.0769231,1,0,0,1.15385,0, 0.153846, 0.307692
400.perlbench,400.perlbench_5,1,79,0,0.177215,0.43038,1.8481,0.189873,0.0379747,1,0,0,0.987342,0, 0.0886076, 0.189873
400.perlbench,400.perlbench_6,2,26,0,0.269231,0.307692,1.61538,0.153846,0.153846,1,0,0,0.884615,0, 0, 0.307692
400.perlbench,400.perlbench_7,2,16,0,0.25,0.375,1.625,0.125,0.0625,1,0,0,0.875,0, 0, 0.25
400.perlbench,400.perlbench_8,2,10,0,0.2,0.6,1.6,0,0.1,1,0,0,1.2,0, 0.2, 0.4
400.perlbench,400.perlbench_9,1,176,0,0.1875,0.522727,1.69318,0.0909091,0.0227273,1,0,0,1.0625,0, 0.0511364, 0.380682
400.perlbench,400.perlbench_10,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_11,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_12,2,14,0,0.285714,0.285714,1.57143,0.142857,0.0714286,1,0,0,0.857143,0, 0, 0.285714
400.perlbench,400.perlbench_13,1,229,0,0.196507,0.585153,1.65066,0.0960699,0.0218341,1,0,0,1.03493,0, 0.10917, 0.318777
400.perlbench,400.perlbench_14,1,9,0,0.222222,0.444444,1.44444,0.111111,0.222222,1,0,0,1,0, 0, 0.444444
400.perlbench,400.perlbench_15,2,30,0,0.2,0.533333,1.9,0,0.0666667,1,0,0,1.13333,0, 0.0666667, 0.466667
400.perlbench,400.perlbench_16,1,304,0,0.138158,0.608553,1.86842,0.0657895,0.0131579,1,0,0,1.07566,0, 0.0690789, 0.401316
400.perlbench,400.perlbench_17,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_18,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_19,1,90,0,0.0888889,0.7,1.82222,0.0333333,0.0333333,1,0,0,1.35556,0, 0.0888889, 0.577778
400.perlbench,400.perlbench_20,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_21,1,352,0,0.122159,0.576705,1.73864,0.0880682,0.0113636,1,0,0,1.16193,0, 0.105114, 0.392045
400.perlbench,400.perlbench_22,1,15,0,0.133333,0.6,1.73333,0,0.0666667,1,0,0,0.933333,0, 0.2, 0.333333
400.perlbench,400.perlbench_23,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
400.perlbench,400.perlbench_24,1,129,0,0.108527,0.682171,1.83721,0.0697674,0.0232558,4,0,0,1.17829,0, 0.0387597, 0.488372
400.perlbench,400.perlbench_25,2,35,0,0.2,0.4,1.6,0.2,0.0857143,1,0,0,1,0, 0, 0.4
400.perlbench,400.perlbench_26,1,46,0,0.23913,0.434783,1.6087,0.152174,0.0869565,1,0,0,0.978261,0, 0.0434783, 0.347826
400.perlbench,400.perlbench_27,1,47,0,0.212766,0.574468,1.70213,0.0425532,0.0425532,1,0,0,1.08511,0, 0.170213, 0.319149
400.perlbench,400.perlbench_28,1,22,0,0.181818,0.636364,1.59091,0.0909091,0.0454545,1,0,0,1.09091,0, 0.227273, 0.318182
400.perlbench,400.perlbench_29,1,68,0,0.352941,0.323529,1.69118,0.0147059,0.0441176,1,0,0,0.882353,0, 0.0882353, 0.235294
