benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
401.bzip2,401.bzip2_1,1,8,0,0.25,0.5,1.5,0.125,0.125,1,1258,0,1,0, 0, 0.375
401.bzip2,401.bzip2_2,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
401.bzip2,401.bzip2_3,1,19,0,0.105263,0.631579,1.36842,0.210526,0,1,0,1,1.15789,0, 0.105263, 0.368421
401.bzip2,401.bzip2_4,2,38,0,0.131579,0.578947,1.5,0.131579,0.0526316,1,0,0,1.18421,0, 0.105263, 0.394737
401.bzip2,401.bzip2_5,3,6,0,0.333333,0.166667,1.83333,0,0.166667,1,0,0,0.833333,0, 0, 0.166667
401.bzip2,401.bzip2_6,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
401.bzip2,401.bzip2_7,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
401.bzip2,401.bzip2_8,3,6,0,0.333333,0.166667,1.83333,0,0.166667,1,0,0,0.833333,0, 0, 0.166667
401.bzip2,401.bzip2_9,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
401.bzip2,401.bzip2_10,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
401.bzip2,401.bzip2_11,3,29,0,0.103448,0.62069,1.44828,0.172414,0.0344828,1,0,0,1.2069,0, 0.103448, 0.413793
401.bzip2,401.bzip2_12,2,70,0,0.214286,0.471429,1.58571,0.0857143,0.0428571,1,0,0,1.1,0, 0.0857143, 0.357143
401.bzip2,401.bzip2_13,1,32,0,0.3125,0.46875,1.75,0,0.09375,1,0,0,0.875,0, 0.15625, 0.3125
401.bzip2,401.bzip2_14,1,38,0,0.0263158,0.421053,1.60526,0.157895,0,33,0,0,1.23684,0, 0.0526316, 0.315789
401.bzip2,401.bzip2_15,1,18,0,0.0555556,0.555556,1.55556,0.277778,0,257,0,1,1.22222,0, 0.0555556, 0.333333
401.bzip2,401.bzip2_16,1,6,0,0.166667,0.666667,1.33333,0.166667,0,1,0,0,1,0, 0.166667, 0.333333
401.bzip2,401.bzip2_17,1,25,0,0.04,0.72,1.44,0.2,0,1,0,0,1.28,0, 0.16, 0.4
401.bzip2,401.bzip2_18,1,12,0,0.0833333,0.583333,1.58333,0.166667,0,257,0,2,1.25,0, 0.0833333, 0.333333
401.bzip2,401.bzip2_19,1,9,0,0.111111,0.666667,1.55556,0.222222,0,257,0,1,1.22222,0, 0.111111, 0.333333
401.bzip2,401.bzip2_20,1,11,0,0.0909091,0.636364,1.45455,0.181818,0,1,0,1,1.18182,0, 0.0909091, 0.363636
401.bzip2,401.bzip2_21,1,5,0,0.2,0.6,1.6,0.2,0,258,0,0,1,0, 0.2, 0.2
401.bzip2,401.bzip2_22,2,80,0,0.125,0.575,1.6375,0.0625,0.05,1,322048,0,1.2375,0, 0.0625, 0.4625
401.bzip2,401.bzip2_23,2,29,0,0.0344828,0.551724,1.55172,0.206897,0,257,322048,0,1.24138,0, 0.0689655, 0.344828
401.bzip2,401.bzip2_24,2,40,0,0.125,0.625,1.525,0.125,0.05,1,322048,1,1.2,0, 0.125, 0.375
401.bzip2,401.bzip2_25,2,40,0,0.125,0.625,1.525,0.125,0.05,1,322048,1,1.2,0, 0.125, 0.375
