benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
403.gcc,403.gcc_1,1,25,0,0.16,0.36,1.76,0.24,0.08,1,6,0,0.96,0, 0, 0.24, 0
403.gcc,403.gcc_2,2,52,0,0.0961538,0.461538,1.76923,0.269231,0.0384615,1,0,0,1,0, 0, 0.269231, 0
403.gcc,403.gcc_3,1,33,0,0.242424,0.363636,1.75758,0.0909091,0.0606061,1,6674,0,0.939394,0, 0.0606061, 0.212121, 0
403.gcc,403.gcc_4,2,52,0,0.0961538,0.461538,1.76923,0.269231,0.0384615,1,2952,0,1,0, 0, 0.269231, 0
403.gcc,403.gcc_5,1,26,0,0.230769,0.423077,1.73077,0.115385,0.0769231,1,6674,0,0.961538,0, 0.0769231, 0.230769, 0
403.gcc,403.gcc_6,1,52,0,0.0961538,0.461538,1.76923,0.269231,0.0384615,1,6731,0,1,0, 0, 0.269231, 0
403.gcc,403.gcc_7,1,27,0,0.148148,0.37037,1.66667,0.259259,0.0740741,1,25,0,0.962963,0, 0, 0.259259, 0
403.gcc,403.gcc_8,1,17,0,0.176471,0.470588,1.70588,0.117647,0.0588235,1,17326,0,0.941176,0, 0, 0.352941, 0
403.gcc,403.gcc_9,1,65,0,0.138462,0.492308,1.73846,0.123077,0.0153846,1,17746,0,0.984615,0, 0, 0.369231, 0
403.gcc,403.gcc_10,1,8,0,0.25,0.5,1.875,0,0.125,1,18140,0,1,0, 0.125, 0.25, 0
403.gcc,403.gcc_11,1,15,0,0.2,0.333333,1.66667,0.2,0.133333,1,12,0,0.933333,0, 0, 0.266667, 0
403.gcc,403.gcc_12,2,45,0,0.155556,0.622222,1.51111,0.133333,0.0444444,1,1722,0,1,0, 0.111111, 0.377778, 0
403.gcc,403.gcc_13,1,7,0,0.428571,0.285714,1.57143,0,0.285714,1,1010,0,0.714286,0, 0, 0.285714, 0
403.gcc,403.gcc_14,1,23,0,0.130435,0.695652,1.47826,0.130435,0.0434783,1,1010,0,0.956522,0, 0.0434783, 0.434783, 0
403.gcc,403.gcc_15,2,21,0,0.142857,0.380952,1.7619,0.142857,0.047619,54,2782,0,0.952381,0, 0.047619, 0.285714, 0
403.gcc,403.gcc_16,2,368,0,0.122283,0.5625,1.7962,0.171196,0.00815217,1,2782,2,0.98913,0, 0.0380435, 0.304348, 0
403.gcc,403.gcc_17,2,45,0,0.111111,0.644444,1.44444,0.155556,0.0222222,1,2782,0,1.02222,0, 0.0444444, 0.444444, 0
403.gcc,403.gcc_18,1,50,0,0.1,0.5,1.88,0,0.04,1,1010,0,0.86,0, 0.14, 0.28, 0
403.gcc,403.gcc_19,2,16,0,0.125,0.5625,1.75,0.1875,0.0625,1,1,0,1.0625,0, 0, 0.3125, 0
403.gcc,403.gcc_20,1,41,0,0.219512,0.463415,1.58537,0.195122,0.0487805,1,53,0,0.97561,0, 0.0243902, 0.292683, 0
403.gcc,403.gcc_21,1,19,0,0.210526,0.315789,1.78947,0.105263,0.0526316,54,1,0,0.894737,0, 0.0526316, 0.263158, 0
403.gcc,403.gcc_22,2,28,0,0.0714286,0.642857,1.75,0.214286,0.0357143,1,0,0,1.14286,0, 0, 0.357143, 0
403.gcc,403.gcc_23,1,84,0,0.130952,0.583333,1.77381,0.214286,0.0238095,1,249,0,1.08333,0, 0.0119048, 0.345238, 0
403.gcc,403.gcc_24,3,18,0,0.166667,0.5,1.66667,0.166667,0.111111,1,12249,0,0.944444,0, 0.0555556, 0.277778, 0
403.gcc,403.gcc_25,2,18,0,0.166667,0.5,1.66667,0.166667,0.111111,1,12010,0,0.944444,0, 0.0555556, 0.277778, 0
403.gcc,403.gcc_26,1,48,0,0.166667,0.479167,1.72917,0.166667,0.0416667,1,11993,0,1,0, 0.0416667, 0.291667, 0
403.gcc,403.gcc_27,1,11,0,0.181818,0.363636,1.63636,0.181818,0.181818,1,19294,0,0.909091,0, 0, 0.272727, 0
403.gcc,403.gcc_28,1,34,0,0.0882353,0.5,1.70588,0.176471,0.0588235,1,6299,0,1.05882,0, 0.0588235, 0.294118, 0
403.gcc,403.gcc_29,1,31,0,0.16129,0.548387,1.67742,0.129032,0.129032,1,0,0,1.03226,0, 0.0645161, 0.387097, 0
403.gcc,403.gcc_30,3,14,0,0.142857,0.571429,1.71429,0.142857,0.0714286,1,84,0,1.07143,0, 0, 0.357143, 0
403.gcc,403.gcc_31,2,15,0,0.266667,0.533333,1.53333,0.133333,0.0666667,1,28,0,0.933333,0, 0.133333, 0.266667, 0
403.gcc,403.gcc_32,2,9,0,0.222222,0.444444,1.77778,0.111111,0.111111,1,28,0,1,0, 0, 0.333333, 0
403.gcc,403.gcc_33,1,396,0,0.143939,0.540404,1.67172,0.156566,0.0126263,1,4286,0,1.02525,0, 0.0530303, 0.361111, 0
403.gcc,403.gcc_34,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_35,1,61,0,0.213115,0.590164,1.60656,0.131148,0.0327869,1,2802,0,1,0, 0.147541, 0.311475, 0
403.gcc,403.gcc_36,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
403.gcc,403.gcc_37,1,12,0,0.25,0.5,1.66667,0.0833333,0.0833333,60,0,0,1,0, 0.0833333, 0.333333, 0
403.gcc,403.gcc_38,1,18,0,0.166667,0.333333,1.77778,0.222222,0.0555556,1,0,0,0.944444,0, 0, 0.222222, 0
403.gcc,403.gcc_39,1,34,0,0.176471,0.411765,1.55882,0.264706,0.0294118,1,0,0,1,0, 0, 0.294118, 0
403.gcc,403.gcc_40,1,26,0,0.153846,0.346154,1.80769,0.230769,0.0384615,1,0,0,0.961538,0, 0, 0.230769, 0
