benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
429.mcf,429.mcf_1,1,18,0,0.166667,0.611111,1.61111,0.111111,0.0555556,1,2,0,1.05556,0, 0.0555556, 0.388889
429.mcf,429.mcf_2,1,12,0,0.166667,0.5,1.75,0,0.0833333,1,2393292,0,1.08333,0, 0, 0.333333
429.mcf,429.mcf_3,1,136,0,0.0441176,0.779412,1.72794,0,0.0147059,1,0,0,1.22794,0, 0.0955882, 0.411765
429.mcf,429.mcf_4,1,7,0,0.142857,0.857143,1.85714,0,0,1,1,0,0.857143,0, 0.285714, 0.285714
429.mcf,429.mcf_5,1,35,0,0.0285714,0.971429,1.85714,0,0,1,0,0,1.08571,0, 0.171429, 0.457143
429.mcf,429.mcf_6,2,72,0,0.138889,0.708333,1.72222,0.0138889,0.0277778,1,11970,0,1.20833,0, 0.0694444, 0.5
429.mcf,429.mcf_7,1,53,0,0.113208,0.792453,1.75472,0.0188679,0.0377358,1,2,0,1.07547,0, 0.113208, 0.415094
429.mcf,429.mcf_8,1,9,0,0.333333,0.444444,1.77778,0,0.111111,1,2,0,0.777778,0, 0, 0.222222
429.mcf,429.mcf_9,1,70,0,0.171429,0.685714,1.75714,0.0285714,0.0285714,1,1,0,1.02857,0, 0.0857143, 0.4
429.mcf,429.mcf_10,1,33,0,0.242424,0.333333,2,0,0.0606061,1,1,0,0.757576,0, 0.0606061, 0.272727
429.mcf,429.mcf_11,1,29,0,0.0344828,0.965517,1.82759,0,0,1,4,0,1.10345,0, 0.137931, 0.482759
429.mcf,429.mcf_12,1,7,0,0.142857,0.857143,1.85714,0,0,1,4,0,0.857143,0, 0.285714, 0.285714
429.mcf,429.mcf_13,2,38,0,0.0789474,0.815789,1.81579,0,0.0263158,1,3022170,0,1.07895,0, 0.0789474, 0.447368
429.mcf,429.mcf_14,2,12,0,0.166667,0.75,1.75,0,0.0833333,1,3022170,0,1.08333,0, 0.166667, 0.416667
