benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
433.milc,433.milc_1,2,63,0.031746,0.015873,0.761905,1.8254,0.190476,0,4,0,0,1.2381,0, 0.031746, 0.349206
433.milc,433.milc_2,1,3,0,0.666667,0.333333,1.33333,0,0,4,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_3,1,45,0.0444444,0.0222222,0.8,1.88889,0.133333,0,4,0,0,1.2,0, 0.0444444, 0.355556
433.milc,433.milc_4,1,35,0,0.0285714,0.6,1.54286,0.171429,0,1,0,0,1.28571,0, 0.171429, 0.371429
433.milc,433.milc_5,4,23,0,0.0434783,0.695652,1.86957,0.173913,0,4,0,0,1.13043,0, 0, 0.347826
433.milc,433.milc_6,3,4,0,0.5,0.25,1.5,0,0,4,0,0,0.25,0, 0.25, 0
433.milc,433.milc_7,4,31,0,0.0322581,0.645161,1.70968,0.258065,0,4,0,0,1.16129,0, 0.0645161, 0.322581
433.milc,433.milc_8,3,4,0,0.5,0.25,1.5,0,0,4,0,0,0.25,0, 0.25, 0
433.milc,433.milc_9,2,42,0.0952381,0.166667,0.52381,1.69048,0.0238095,0.047619,5,0,0,1,0, 0.142857, 0.333333
433.milc,433.milc_10,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_11,1,121,0.107438,0.0247934,0.752066,1.95868,0.0991736,0.00826446,4,0,0,1.20661,0, 0.0247934, 0.330579
433.milc,433.milc_12,2,21,0,0.047619,0.761905,1.85714,0.190476,0,4,0,0,1.14286,0, 0.0952381, 0.285714
433.milc,433.milc_13,1,3,0,0.666667,0.333333,1.33333,0,0,4,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_14,1,2,0,0.5,0,3.5,0,0,1,0,0,0.5,0, 0, 0
433.milc,433.milc_15,1,34,0,0.0294118,0.735294,1.73529,0.176471,0,1,0,0,1.38235,0, 0.0294118, 0.529412
433.milc,433.milc_16,1,34,0,0.0294118,0.735294,1.73529,0.176471,0,1,0,0,1.38235,0, 0.0294118, 0.529412
433.milc,433.milc_17,1,210,0,0.133333,0.571429,1.83333,0.114286,0.0190476,1,0,0,1.17143,0, 0.0047619, 0.452381
433.milc,433.milc_18,1,23,0,0.0434783,0.608696,1.52174,0.173913,0,5,0,2,1.21739,0, 0.0869565, 0.347826
433.milc,433.milc_19,1,10,0,0.1,0.7,1.4,0.2,0,9,0,0,1.2,0, 0.1, 0.4
433.milc,433.milc_20,1,22,0,0.0454545,0.681818,1.27273,0.272727,0,1,0,0,1.13636,0, 0.0454545, 0.409091
433.milc,433.milc_21,1,22,0,0.0454545,0.681818,1.27273,0.272727,0,1,0,0,1.13636,0, 0.0454545, 0.409091
433.milc,433.milc_22,1,22,0,0.0454545,0.681818,1.27273,0.272727,0,1,0,0,1.13636,0, 0.0454545, 0.409091
433.milc,433.milc_23,1,20,0,0.05,0.7,1.3,0.2,0,1,0,0,1.2,0, 0.05, 0.45
433.milc,433.milc_24,1,20,0,0.05,0.7,1.3,0.2,0,1,0,0,1.2,0, 0.05, 0.45
433.milc,433.milc_25,1,20,0,0.05,0.7,1.3,0.2,0,1,0,0,1.2,0, 0.05, 0.45
433.milc,433.milc_26,1,125,0,0.128,0.624,1.544,0.096,0.016,1,0,0,1.056,0, 0.072, 0.4
433.milc,433.milc_27,2,2,0,0.5,0,1,0,0,1,0,0,0,0, 0, 0
433.milc,433.milc_28,2,47,0,0.0638298,0.446809,1.55319,0.212766,0.0212766,1,0,0,0.914894,0, 0.0638298, 0.255319
433.milc,433.milc_29,1,59,0.0508475,0.237288,0.372881,1.71186,0.0338983,0.0508475,1,1,0,0.661017,0, 0.135593, 0.237288
433.milc,433.milc_30,2,60,0.05,0.0166667,0.583333,1.48333,0.266667,0,1,0,0,1.18333,0, 0.0333333, 0.383333
433.milc,433.milc_31,3,28,0.0714286,0.0357143,0.642857,1.5,0.178571,0,1,0,0,1.17857,0, 0.0357143, 0.428571
433.milc,433.milc_32,3,37,0.027027,0.027027,0.675676,1.48649,0.189189,0,1,0,0,1.18919,0, 0.027027, 0.459459
433.milc,433.milc_33,3,15,0,0.0666667,0.666667,1.46667,0.2,0,1,0,0,1.13333,0, 0, 0.466667
433.milc,433.milc_34,2,116,0.0344828,0.215517,0.551724,1.69828,0.0258621,0.0172414,1,0,0,0.948276,0, 0.137931, 0.353448
433.milc,433.milc_35,2,14,0,0.0714286,0.428571,1.5,0.428571,0,1,0,0,1.07143,0, 0, 0.285714
433.milc,433.milc_36,2,14,0,0.0714286,0.428571,1.5,0.428571,0,1,0,0,1.07143,0, 0, 0.285714
433.milc,433.milc_37,1,136,0.0147059,0.235294,0.544118,1.74265,0.0220588,0.0220588,1,0,0,0.926471,0, 0.198529, 0.279412
433.milc,433.milc_38,1,14,0,0.0714286,0.428571,1.5,0.428571,0,1,0,0,1.07143,0, 0, 0.285714
433.milc,433.milc_39,2,15,0,0.0666667,0.8,1.93333,0.133333,0,1,0,0,1.06667,0, 0.133333, 0.266667
433.milc,433.milc_40,1,10,0,0.2,0.5,1.3,0.3,0,4,0,0,1,0, 0.2, 0.2
433.milc,433.milc_41,2,15,0,0.0666667,0.8,1.93333,0.133333,0,1,0,0,1.06667,0, 0.133333, 0.266667
433.milc,433.milc_42,1,10,0,0.2,0.5,1.3,0.3,0,4,0,0,1,0, 0.2, 0.2
433.milc,433.milc_43,2,15,0,0.0666667,0.8,1.93333,0.133333,0,1,0,0,1.06667,0, 0.133333, 0.266667
433.milc,433.milc_44,1,10,0,0.2,0.5,1.3,0.3,0,4,0,0,1,0, 0.2, 0.2
433.milc,433.milc_45,1,25,0,0.04,0.56,1.44,0.36,0,1,0,0,1.2,0, 0.12, 0.32
433.milc,433.milc_46,1,25,0,0.04,0.56,1.44,0.36,0,1,0,0,1.2,0, 0.12, 0.32
433.milc,433.milc_47,1,25,0,0.04,0.56,1.44,0.36,0,1,0,0,1.2,0, 0.12, 0.32
433.milc,433.milc_48,1,27,0,0.037037,0.592593,1.37037,0.333333,0,1,0,0,1.2963,0, 0.111111, 0.37037
433.milc,433.milc_49,1,53,0.113208,0.0188679,0.754717,1.83019,0.113208,0,1,0,0,1.24528,0, 0.0377358, 0.377358
433.milc,433.milc_50,1,28,0,0.0357143,0.607143,1.39286,0.321429,0,4,0,0,1.32143,0, 0.107143, 0.392857
433.milc,433.milc_51,1,19,0,0.0526316,0.578947,1.36842,0.315789,0,1,0,0,1.26316,0, 0.105263, 0.368421
433.milc,433.milc_52,1,19,0,0.0526316,0.578947,1.36842,0.315789,0,1,0,0,1.26316,0, 0.105263, 0.368421
433.milc,433.milc_53,1,19,0,0.0526316,0.578947,1.36842,0.315789,0,1,0,0,1.26316,0, 0.105263, 0.368421
433.milc,433.milc_54,3,20,0,0.05,0.75,1.7,0.15,0,1,0,0,1.3,0, 0.1, 0.4
433.milc,433.milc_55,3,37,0.0540541,0.108108,0.540541,1.48649,0.189189,0.027027,1,0,0,1.16216,0, 0.0540541, 0.378378
433.milc,433.milc_56,2,53,0,0.0566038,0.566038,1.64151,0.226415,0,1,0,0,1.01887,0, 0.113208, 0.301887
433.milc,433.milc_57,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
433.milc,433.milc_58,1,27,0,0.037037,0.592593,1.37037,0.148148,0,4,0,0,1.11111,0, 0, 0.444444
433.milc,433.milc_59,1,27,0,0.037037,0.592593,1.37037,0.148148,0,5,0,0,1.11111,0, 0, 0.444444
433.milc,433.milc_60,1,7,0,0.142857,0.428571,1.42857,0.285714,0,5,0,0,0.857143,0, 0, 0.285714
433.milc,433.milc_61,1,12,0,0.0833333,0.5,1.58333,0.166667,0,10,0,0,1.08333,0, 0, 0.333333
433.milc,433.milc_62,1,12,0,0.0833333,0.5,1.58333,0.166667,0,5,0,0,1.08333,0, 0, 0.333333
433.milc,433.milc_63,1,146,0,0.00684932,0.630137,1.39041,0.315068,0,5,0,0,1.17123,0, 0.0136986, 0.445205
433.milc,433.milc_64,1,7,0,0.142857,0.428571,1.57143,0.142857,0,1,0,0,1,0, 0, 0.285714
433.milc,433.milc_65,1,7,0,0.142857,0.428571,1.57143,0.142857,0,5,0,0,1,0, 0, 0.285714
433.milc,433.milc_66,1,12,0,0.0833333,0.5,1.58333,0.166667,0,5,0,0,1.08333,0, 0, 0.333333
433.milc,433.milc_67,1,30,0,0.0333333,0.5,1.7,0.266667,0,5,0,2,1.13333,0, 0.0333333, 0.266667
433.milc,433.milc_68,1,29,0,0.0344828,0.517241,1.68966,0.275862,0,5,0,2,1.13793,0, 0.0344828, 0.275862
433.milc,433.milc_69,1,35,0,0.0285714,0.628571,1.62857,0.228571,0,5,0,0,1.2,0, 0.0571429, 0.342857
