benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
444.namd,444.namd_1,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_2,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_3,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_4,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_5,1,9,0,0.111111,0.777778,1.66667,0.111111,0,1,1,0,1.11111,0, 0.111111, 0.333333
444.namd,444.namd_6,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_7,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_8,1,41,0,0.0487805,0.804878,1.90244,0.097561,0.0243902,1,1,0,1.26829,0, 0.195122, 0.317073
444.namd,444.namd_9,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_10,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_11,1,8,0,0.125,0.625,1.625,0.125,0,1,6,0,1.125,0, 0, 0.375
444.namd,444.namd_12,1,8,0,0.125,0.625,1.625,0.125,0,1,6,0,1.125,0, 0, 0.375
444.namd,444.namd_13,2,119,0,0.00840336,0.588235,1.47059,0.117647,0,5,769,0,1.17647,0, 0.0672269, 0.403361
444.namd,444.namd_14,1,3,0,0.666667,0.333333,1.33333,0,0,1,1,0,0.333333,0, 0.333333, 0
444.namd,444.namd_15,1,33,0.0606061,0.030303,0.727273,1.30303,0.181818,0,1,1,0,1.09091,0, 0.0606061, 0.484848
444.namd,444.namd_16,3,59,0.457627,0.0169492,0.525424,1.52542,0,0,3,3840,0,1.44068,0, 0.0677966, 0.457627
444.namd,444.namd_17,2,68,0.264706,0.0294118,0.661765,1.52941,0.0294118,0,1,5,0,1.29412,0, 0.147059, 0.426471
444.namd,444.namd_18,2,81,0.222222,0.0617284,0.604938,1.54321,0.0493827,0.0123457,1,5,0,1.22222,0, 0.0864198, 0.407407
444.namd,444.namd_19,1,31,0,0.290323,0.709677,1.80645,0,0,6,1,0,0.806452,0, 0.451613, 0.258065
444.namd,444.namd_20,1,333,0.231231,0.042042,0.687688,1.61562,0.015015,0.00600601,1,1,0,1.27928,0, 0.258258, 0.369369
444.namd,444.namd_21,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_22,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_23,1,0,0,0,0,0,0,0,1,1,0,0,0, 0, 0
444.namd,444.namd_24,2,70,0.0285714,0.228571,0.485714,1.68571,0.0285714,0.0285714,4,0,0,0.971429,0, 0.142857, 0.314286
444.namd,444.namd_25,1,3,0,0.666667,0.333333,1.33333,0,0,4,0,0,0.333333,0, 0.333333, 0
444.namd,444.namd_26,2,35,0,0.257143,0.485714,1.65714,0.0285714,0.0285714,1,0,0,0.971429,0, 0.114286, 0.342857
444.namd,444.namd_27,1,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
444.namd,444.namd_28,2,73,0.123288,0.0273973,0.780822,1.58904,0.0547945,0.0136986,1,0,0,1.35616,0, 0.191781, 0.438356
444.namd,444.namd_29,2,55,0,0.0727273,0.654545,1.54545,0.145455,0.0181818,1,0,0,1.14545,0, 0.127273, 0.345455
444.namd,444.namd_30,2,96,0.104167,0.0833333,0.71875,1.625,0.0416667,0.0416667,1,0,0,1.3125,0, 0.177083, 0.416667
