benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
445.gobmk,445.gobmk_1,2,33,0,0.121212,0.515152,1.66667,0.212121,0.0606061,1,0,0,1.12121,0, 0.030303, 0.333333
445.gobmk,445.gobmk_2,1,5,0,0.4,0.6,1.4,0,0,1,0,0,0.8,0, 0.4, 0.2
445.gobmk,445.gobmk_3,2,128,0,0.210938,0.460938,1.67969,0.0859375,0.0390625,5,0,0,1.04688,0, 0.117188, 0.289062
445.gobmk,445.gobmk_4,1,43,0,0.232558,0.511628,1.69767,0.0697674,0.0465116,380,0,0,1.04651,0, 0.162791, 0.302326
445.gobmk,445.gobmk_5,1,61,0,0.131148,0.590164,1.90164,0.147541,0.0327869,1,0,0,1.01639,0, 0, 0.311475
445.gobmk,445.gobmk_6,2,53,0,0.150943,0.54717,1.77358,0.169811,0.0377358,1,0,0,1.01887,0, 0.0188679, 0.320755
445.gobmk,445.gobmk_7,2,31,0,0.0967742,0.580645,1.67742,0.193548,0.0645161,1,0,0,1.06452,0, 0, 0.354839
445.gobmk,445.gobmk_8,2,10,0,0.1,0.6,2.3,0,0.1,1,0,0,1.4,0, 0.1, 0.5
445.gobmk,445.gobmk_9,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
445.gobmk,445.gobmk_10,1,97,0,0.319588,0.42268,1.81443,0.0412371,0.0206186,1,0,0,0.938144,0, 0.113402, 0.278351
445.gobmk,445.gobmk_11,2,23,0,0.173913,0.565217,1.6087,0.173913,0.0869565,380,0,0,1.13043,0, 0.0869565, 0.347826
445.gobmk,445.gobmk_12,2,24,0,0.125,0.5,1.625,0.166667,0.0833333,1,0,0,1.125,0, 0, 0.375
445.gobmk,445.gobmk_13,2,42,0,0.166667,0.547619,1.85714,0.142857,0.047619,1,0,0,1.02381,0, 0.0238095, 0.285714
445.gobmk,445.gobmk_14,2,38,0,0.236842,0.447368,1.81579,0.105263,0.0526316,1,0,0,0.973684,0, 0.0263158, 0.289474
