benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
450.soplex,450.soplex_1,1,67,0,0.0447761,0.626866,1.65672,0.19403,0.0149254,1,0,0,1.22388,0, 0.0597015, 0.373134
450.soplex,450.soplex_2,1,53,0,0.0566038,0.622642,1.64151,0.188679,0.0188679,1,0,0,1.20755,0, 0.0566038, 0.377358
450.soplex,450.soplex_3,1,67,0,0.0447761,0.626866,1.65672,0.19403,0.0149254,1,0,0,1.22388,0, 0.0597015, 0.373134
450.soplex,450.soplex_4,1,53,0,0.0566038,0.622642,1.64151,0.188679,0.0188679,1,0,0,1.20755,0, 0.0566038, 0.377358
450.soplex,450.soplex_5,1,19,0,0.0526316,0.421053,1.73684,0.263158,0,1,0,0,1.31579,0, 0, 0.315789
450.soplex,450.soplex_6,1,19,0,0.0526316,0.421053,1.73684,0.263158,0,1,0,0,1.31579,0, 0, 0.315789
450.soplex,450.soplex_7,1,37,0,0.027027,0.432432,1.75676,0.27027,0,1,0,0,1.35135,0, 0, 0.324324
450.soplex,450.soplex_8,1,19,0,0.0526316,0.421053,1.73684,0.263158,0,1,0,0,1.31579,0, 0, 0.315789
450.soplex,450.soplex_9,1,19,0,0.0526316,0.421053,1.73684,0.263158,0,1,0,0,1.31579,0, 0, 0.315789
450.soplex,450.soplex_10,1,37,0,0.027027,0.432432,1.75676,0.27027,0,1,0,0,1.35135,0, 0, 0.324324
450.soplex,450.soplex_11,1,14,0.0714286,0.142857,0.428571,2.21429,0.0714286,0.0714286,1,0,0,1.28571,0, 0.0714286, 0.357143
450.soplex,450.soplex_12,1,11,0.0909091,0.181818,0.363636,2.18182,0.0909091,0.0909091,1,0,0,1.18182,0, 0.0909091, 0.272727
450.soplex,450.soplex_13,1,14,0.0714286,0.142857,0.428571,2.21429,0.0714286,0.0714286,1,0,0,1.28571,0, 0.0714286, 0.357143
