benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
456.hmmer,456.hmmer_1,1,95,0,0.147368,0.631579,1.77895,0.0526316,0.0315789,1,0,0,1.16842,0, 0.0842105, 0.4
456.hmmer,456.hmmer_2,2,18,0,0.0555556,0.666667,1.77778,0.166667,0,1,0,0,1.22222,0, 0, 0.388889
456.hmmer,456.hmmer_3,1,36,0,0.166667,0.638889,1.63889,0.0833333,0.0277778,1,0,0,1.02778,0, 0.0277778, 0.416667
456.hmmer,456.hmmer_4,1,138,0,0.144928,0.5,1.48551,0.224638,0.00724638,1,0,0,1.10145,0, 0.0217391, 0.362319
456.hmmer,456.hmmer_5,1,24,0.0833333,0.125,0.5,1.375,0.25,0.0416667,1,0,0,1.125,0, 0.0833333, 0.333333
456.hmmer,456.hmmer_6,1,24,0.0833333,0.125,0.5,1.375,0.25,0.0416667,1,0,0,1.125,0, 0.0833333, 0.333333
456.hmmer,456.hmmer_7,1,189,0,0.142857,0.502646,1.49206,0.222222,0.010582,1,0,0,1.10582,0, 0.021164, 0.365079
456.hmmer,456.hmmer_8,1,57,0,0.122807,0.526316,1.49123,0.210526,0.0350877,1,0,0,1.12281,0, 0.0350877, 0.368421
456.hmmer,456.hmmer_9,2,31,0.0645161,0.0645161,0.677419,1.45161,0.16129,0.0322581,1,0,0,1.29032,0, 0.0645161, 0.483871
456.hmmer,456.hmmer_10,1,5,0,0.4,0.4,1.4,0,0,1,0,0,0.8,0, 0.2, 0.2
456.hmmer,456.hmmer_11,2,32,0.0625,0.0625,0.6875,1.46875,0.15625,0.03125,1,0,0,1.3125,0, 0.0625, 0.5
456.hmmer,456.hmmer_12,1,5,0,0.4,0.4,1.4,0,0,1,0,0,0.8,0, 0.2, 0.2
456.hmmer,456.hmmer_13,1,117,0,0.145299,0.495726,1.47863,0.222222,0.017094,1,0,0,1.10256,0, 0.025641, 0.358974
456.hmmer,456.hmmer_14,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
456.hmmer,456.hmmer_15,1,22,0.0909091,0.0909091,0.545455,1.36364,0.181818,0,1,0,0,1.18182,0, 0.0909091, 0.363636
456.hmmer,456.hmmer_16,2,5,0,0.2,0.6,1.6,0.2,0,1,0,0,1,0, 0.2, 0.2
456.hmmer,456.hmmer_17,2,47,0,0.0851064,0.574468,1.44681,0.191489,0.0212766,28,0,2,1.12766,0, 0.0851064, 0.340426
456.hmmer,456.hmmer_18,2,16,0,0.1875,0.625,1.5625,0.125,0.0625,1,0,0,1.1875,0, 0.125, 0.375
456.hmmer,456.hmmer_19,1,29,0.0689655,0.206897,0.482759,1.55172,0.172414,0.0344828,27,0,0,0.965517,0, 0.241379, 0.172414
456.hmmer,456.hmmer_20,1,9,0,0.111111,0.777778,1.66667,0.111111,0,1,0,0,1,0, 0.111111, 0.333333
456.hmmer,456.hmmer_21,1,11,0,0.0909091,0.454545,1.63636,0.181818,0,1,0,0,1.09091,0, 0.0909091, 0.272727
456.hmmer,456.hmmer_22,1,43,0,0.116279,0.651163,1.69767,0.0930233,0.0232558,1,0,0,1.02326,0, 0, 0.372093
456.hmmer,456.hmmer_23,2,105,0,0.104762,0.552381,1.4,0.238095,0.0190476,1,0,0,1.09524,0, 0.0285714, 0.371429
456.hmmer,456.hmmer_24,2,72,0,0.0972222,0.597222,1.38889,0.236111,0.0138889,1,0,0,1.15278,0, 0.0138889, 0.416667
456.hmmer,456.hmmer_25,1,17,0,0.352941,0.529412,1.76471,0,0.0588235,1,0,0,0.764706,0, 0.411765, 0.117647
456.hmmer,456.hmmer_26,2,65,0,0.107692,0.569231,1.41538,0.230769,0.0153846,1,0,0,1.13846,0, 0.0153846, 0.4
456.hmmer,456.hmmer_27,2,95,0,0.0842105,0.610526,1.36842,0.242105,0.0105263,1,0,0,1.15789,0, 0.0315789, 0.410526
456.hmmer,456.hmmer_28,2,95,0,0.0842105,0.610526,1.36842,0.242105,0.0105263,1,0,0,1.15789,0, 0.0315789, 0.410526
456.hmmer,456.hmmer_29,1,18,0.111111,0.388889,0.388889,1.44444,0.111111,0.0555556,1,0,0,0.777778,0, 0.222222, 0.166667
456.hmmer,456.hmmer_30,1,61,0,0.131148,0.557377,1.44262,0.213115,0.0163934,1,0,0,1.11475,0, 0.0491803, 0.377049
456.hmmer,456.hmmer_31,1,55,0,0.127273,0.545455,1.45455,0.218182,0.0181818,1,0,0,1.12727,0, 0.0363636, 0.381818
456.hmmer,456.hmmer_32,1,30,0,0.233333,0.4,1.56667,0.166667,0.0333333,1,0,0,0.966667,0, 0.0333333, 0.366667
456.hmmer,456.hmmer_33,2,136,0,0.154412,0.470588,1.63235,0.257353,0.0220588,1,0,1,1.11765,0, 0.0294118, 0.286765
456.hmmer,456.hmmer_34,2,40,0,0.175,0.425,1.675,0.25,0.025,1,0,0,1.1,0, 0.025, 0.275
456.hmmer,456.hmmer_35,2,40,0,0.175,0.425,1.675,0.25,0.025,1,0,0,1.1,0, 0.025, 0.275
456.hmmer,456.hmmer_36,1,61,0,0.131148,0.622951,1.85246,0.114754,0.0327869,1,0,0,1.08197,0, 0.229508, 0.213115
456.hmmer,456.hmmer_37,1,10,0,0.1,0.7,1.3,0.2,0,1,0,0,1.1,0, 0.1, 0.4
456.hmmer,456.hmmer_38,2,61,0,0.0983607,0.57377,1.40984,0.245902,0.0163934,1,0,0,1.14754,0, 0, 0.409836
456.hmmer,456.hmmer_39,2,19,0,0.0526316,0.736842,1.26316,0.210526,0,1,0,0,1.21053,0, 0.0526316, 0.473684
456.hmmer,456.hmmer_40,1,61,0,0.196721,0.655738,1.59016,0.0655738,0.0327869,1,0,0,1.01639,0, 0.0819672, 0.393443
456.hmmer,456.hmmer_41,1,12,0,0.0833333,0.666667,1.5,0.166667,0,1,0,0,1.16667,0, 0, 0.416667
456.hmmer,456.hmmer_42,3,23,0,0.0434783,0.695652,1.3913,0.173913,0,1,0,0,1.26087,0, 0.130435, 0.391304
456.hmmer,456.hmmer_43,3,12,0,0.0833333,0.666667,1.41667,0.166667,0,1,0,0,1.16667,0, 0.166667, 0.333333
456.hmmer,456.hmmer_44,2,31,0,0.16129,0.612903,1.41935,0.129032,0.0322581,1,0,0,1.12903,0, 0.129032, 0.354839
456.hmmer,456.hmmer_45,1,14,0,0.142857,0.714286,1.42857,0.142857,0,1,0,0,1,0, 0.285714, 0.285714
456.hmmer,456.hmmer_46,1,11,0,0.0909091,0.454545,1.63636,0.181818,0,1,0,0,1.09091,0, 0.0909091, 0.272727
456.hmmer,456.hmmer_47,2,32,0,0.09375,0.6875,1.3125,0.1875,0.03125,1,0,0,1.1875,0, 0.03125, 0.46875
456.hmmer,456.hmmer_48,1,16,0,0.125,0.6875,1.375,0.125,0,1,0,0,1.125,0, 0.1875, 0.375
456.hmmer,456.hmmer_49,2,28,0.0714286,0.142857,0.428571,1.46429,0.178571,0.0714286,1,0,0,1.07143,0, 0.0714286, 0.285714
