benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
458.sjeng,458.sjeng_1,1,18,0,0.166667,0.555556,1.61111,0.111111,0.0555556,9,0,0,1.05556,0, 0.111111, 0.333333
458.sjeng,458.sjeng_2,2,19,0,0.210526,0.473684,1.78947,0.157895,0.105263,1,0,0,0.947368,0, 0, 0.315789
458.sjeng,458.sjeng_3,1,32,0,0.28125,0.4375,1.625,0.09375,0.0625,1,0,0,0.90625,0, 0.0625, 0.28125
458.sjeng,458.sjeng_4,2,19,0,0.210526,0.473684,1.78947,0.157895,0.105263,1,0,0,0.947368,0, 0, 0.315789
458.sjeng,458.sjeng_5,1,21,0,0.285714,0.47619,1.52381,0.0952381,0.047619,1,0,0,0.904762,0, 0.0952381, 0.285714
458.sjeng,458.sjeng_6,1,18,0,0.166667,0.555556,1.61111,0.111111,0.0555556,9,0,0,1.05556,0, 0.111111, 0.333333
458.sjeng,458.sjeng_7,2,19,0,0.210526,0.473684,1.78947,0.157895,0.105263,1,0,0,0.947368,0, 0, 0.315789
458.sjeng,458.sjeng_8,1,32,0,0.28125,0.4375,1.625,0.09375,0.0625,1,0,0,0.90625,0, 0.0625, 0.28125
458.sjeng,458.sjeng_9,2,18,0,0.166667,0.5,1.83333,0.166667,0.111111,1,0,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_10,1,21,0,0.285714,0.47619,1.52381,0.0952381,0.047619,1,0,0,0.904762,0, 0.0952381, 0.285714
458.sjeng,458.sjeng_11,2,9,0,0.333333,0.333333,2,0,0.222222,1,3897530,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_12,1,20,0,0.2,0.6,1.55,0.1,0.05,1,1181246,0,1.05,0, 0.15, 0.35
458.sjeng,458.sjeng_13,1,12,0,0.166667,0.5,1.66667,0.166667,0.0833333,1,2055347,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_14,2,9,0,0.333333,0.333333,2,0,0.222222,1,10131880,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_15,1,27,0,0.222222,0.518519,1.66667,0.0740741,0.0740741,1,2706118,0,1.03704,0, 0.111111, 0.333333
458.sjeng,458.sjeng_16,2,9,0,0.333333,0.333333,2,0,0.222222,1,3293679,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_17,1,23,0,0.173913,0.608696,1.56522,0.130435,0.0434783,1,1156007,0,1.04348,0, 0.130435, 0.347826
458.sjeng,458.sjeng_18,1,12,0,0.166667,0.5,1.66667,0.166667,0.0833333,1,1193238,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_19,2,9,0,0.333333,0.333333,2,0,0.222222,1,5075680,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_20,1,27,0,0.222222,0.518519,1.66667,0.0740741,0.0740741,1,1350052,0,1.03704,0, 0.111111, 0.333333
458.sjeng,458.sjeng_21,2,9,0,0.333333,0.333333,2,0,0.222222,1,0,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_22,1,17,0,0.176471,0.647059,1.47059,0.117647,0,1,0,0,1.05882,0, 0.176471, 0.352941
458.sjeng,458.sjeng_23,1,12,0,0.166667,0.5,1.66667,0.166667,0.0833333,1,0,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_24,2,9,0,0.333333,0.333333,2,0,0.222222,1,0,0,1,0, 0, 0.333333
458.sjeng,458.sjeng_25,1,24,0,0.208333,0.541667,1.625,0.0833333,0.0833333,1,0,0,1.04167,0, 0.125, 0.333333
