benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
462.libquantum,462.libquantum_1,1,5,0,0.2,0.6,1.4,0,0,1,2,0,1.2,0, 0.2, 0.4
462.libquantum,462.libquantum_2,1,0,0,0,0,0,0,0,1,3,0,0,0, 0, 0
462.libquantum,462.libquantum_3,1,21,0,0.047619,0.761905,1.47619,0,0,1,1,0,1.42857,0, 0.285714, 0.47619
462.libquantum,462.libquantum_4,1,1,0,1,0,1,0,0,1,2,0,0,0, 0, 0
462.libquantum,462.libquantum_5,1,1,0,1,0,1,0,0,1,11,0,0,0, 0, 0
462.libquantum,462.libquantum_6,2,33,0.0606061,0.121212,0.606061,1.48485,0.151515,0.030303,1,0,0,1.15152,0, 0.0606061, 0.393939
462.libquantum,462.libquantum_7,1,33,0.181818,0.0606061,0.666667,1.87879,0.0606061,0,1,0,0,1.24242,0, 0.151515, 0.242424
462.libquantum,462.libquantum_8,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
462.libquantum,462.libquantum_9,1,31,0.193548,0.0645161,0.387097,1.41935,0.258065,0,1,0,0,1.12903,0, 0.0967742, 0.258065
462.libquantum,462.libquantum_10,2,9,0,0.111111,0.666667,1.44444,0,0,1,11,0,1.33333,0, 0.222222, 0.444444
462.libquantum,462.libquantum_11,1,17,0,0.117647,0.588235,1.64706,0,0,1,1,0,1.29412,0, 0.117647, 0.470588
462.libquantum,462.libquantum_12,1,29,0,0.103448,0.586207,1.62069,0.206897,0.0344828,1,2181,0,1.10345,0, 0.0344828, 0.344828
462.libquantum,462.libquantum_13,1,44,0,0.113636,0.568182,1.63636,0.204545,0.0227273,1,7474,0,1.09091,0, 0.0227273, 0.340909
462.libquantum,462.libquantum_14,2,21,0,0.142857,0.52381,1.57143,0.190476,0.047619,1,0,0,1.04762,0, 0, 0.333333
462.libquantum,462.libquantum_15,1,21,0,0.190476,0.571429,1.57143,0.142857,0.047619,1,0,0,1.04762,0, 0.0952381, 0.333333
462.libquantum,462.libquantum_16,1,26,0,0.153846,0.615385,1.73077,0.115385,0.0384615,1,0,0,1.11538,0, 0.115385, 0.230769
462.libquantum,462.libquantum_17,1,14,0,0.0714286,0.642857,1.57143,0.214286,0,1,3449,0,1.14286,0, 0.0714286, 0.357143
462.libquantum,462.libquantum_18,1,72,0.166667,0.0555556,0.625,1.83333,0.111111,0.0138889,1,0,0,1.16667,0, 0.0694444, 0.277778
462.libquantum,462.libquantum_19,1,37,0.162162,0.0810811,0.594595,1.83784,0.108108,0.027027,1,0,0,1.13514,0, 0.0540541, 0.27027
462.libquantum,462.libquantum_20,1,19,0,0.0526316,0.631579,1.63158,0,0,1,0,0,1.42105,0, 0, 0.631579
462.libquantum,462.libquantum_21,2,20,0,0.05,0.55,1.5,0.25,0,1,225280,0,1.2,0, 0.05, 0.35
462.libquantum,462.libquantum_22,1,59,0,0.0508475,0.644068,1.59322,0.186441,0.0169492,1,110,0,1.22034,0, 0.118644, 0.372881
