benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
464.h264ref,464.h264ref_1,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_2,1,37,0,0.0810811,0.756757,1.72973,0.0810811,0.027027,1,0,0,1.10811,0, 0.162162, 0.378378, 0
464.h264ref,464.h264ref_3,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_4,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_5,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_6,1,51,0,0.0588235,0.686275,1.7451,0.0980392,0.0392157,1,0,0,1.11765,0, 0.137255, 0.352941, 0
464.h264ref,464.h264ref_7,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_8,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_9,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_10,2,43,0,0.0697674,0.744186,1.74419,0.0697674,0.0232558,1,0,0,1.11628,0, 0.162791, 0.372093, 0
464.h264ref,464.h264ref_11,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_12,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_13,2,42,0,0.0714286,0.761905,1.7381,0.0714286,0.0238095,1,0,0,1.11905,0, 0.166667, 0.380952, 0
464.h264ref,464.h264ref_14,1,98,0,0.142857,0.673469,1.70408,0.0612245,0.0306122,1,0,0,1.05102,0, 0.153061, 0.346939, 0
464.h264ref,464.h264ref_15,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_16,1,42,0,0.0714286,0.761905,1.7381,0.0714286,0.0238095,1,0,0,1.11905,0, 0.166667, 0.380952, 0
464.h264ref,464.h264ref_17,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_18,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_19,1,43,0,0.0697674,0.744186,1.74419,0.0697674,0.0232558,1,0,0,1.11628,0, 0.162791, 0.372093, 0
464.h264ref,464.h264ref_20,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_21,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_22,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_23,2,43,0,0.0697674,0.744186,1.74419,0.0697674,0.0232558,1,0,0,1.11628,0, 0.162791, 0.372093, 0
464.h264ref,464.h264ref_24,2,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_25,3,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0, 0
464.h264ref,464.h264ref_26,2,42,0,0.0714286,0.761905,1.7381,0.0714286,0.0238095,1,0,0,1.11905,0, 0.166667, 0.380952, 0
464.h264ref,464.h264ref_27,1,98,0,0.142857,0.673469,1.70408,0.0612245,0.0306122,1,0,0,1.05102,0, 0.153061, 0.346939, 0
464.h264ref,464.h264ref_28,1,77,0,0.012987,0.831169,2.01299,0.155844,0,5,142800,0,1.11688,0, 0.103896, 0.25974, 0
464.h264ref,464.h264ref_29,2,13,0,0.0769231,0.692308,1.69231,0.230769,0,5,571200,0,1.07692,0, 0.0769231, 0.307692, 0
464.h264ref,464.h264ref_30,1,3,0,0.666667,0.333333,1.33333,0,0,5,142800,0,0.333333,0, 0.333333, 0, 0
464.h264ref,464.h264ref_31,1,9,0,0.111111,0.777778,2,0.111111,0,10,142800,0,0.888889,0, 0.111111, 0.222222, 0
464.h264ref,464.h264ref_32,1,25,0,0.16,0.6,1.68,0.12,0.04,5,0,0,1.04,0, 0.04, 0.32, 0
464.h264ref,464.h264ref_33,1,11,0,0.0909091,0.545455,1.81818,0.0909091,0,5,142800,0,1.36364,0, 0, 0.454545, 0
464.h264ref,464.h264ref_34,2,91,0,0.10989,0.43956,1.67033,0.032967,0.021978,17,128000,0,1.12088,0, 0.010989, 0.340659, 0
464.h264ref,464.h264ref_35,1,3,0,0.666667,0.333333,1.33333,0,0,17,8000,0,0.333333,0, 0.333333, 0, 0
464.h264ref,464.h264ref_36,1,123,0,0.0325203,0.626016,1.5935,0.178862,0.00813008,9,8000,0,1.22764,0, 0.0243902, 0.357724, 0
464.h264ref,464.h264ref_37,2,45,0,0.0222222,0.733333,1.77778,0.244444,0,17,142800,2,1.15556,0, 0.0666667, 0.311111, 0
464.h264ref,464.h264ref_38,1,3,0,0.666667,0.333333,1.33333,0,0,17,8925,0,0.333333,0, 0.333333, 0, 0
464.h264ref,464.h264ref_39,1,53,0,0.0943396,0.622642,1.66038,0.188679,0.0188679,17,8925,0,1.15094,0, 0.0377358, 0.320755, 0
464.h264ref,464.h264ref_40,1,49,0,0.102041,0.591837,1.59184,0.163265,0.0204082,17,8925,0,1.16327,0, 0.0408163, 0.346939, 0
464.h264ref,464.h264ref_41,1,25,0,0.16,0.6,1.68,0.12,0.04,17,0,0,1.04,0, 0.04, 0.32, 0
464.h264ref,464.h264ref_42,1,8,0,0.125,0.5,2,0.125,0,18,8925,0,1.25,0, 0, 0.375, 0
