benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
470.lbm,470.lbm_1,1,125,0,0.008,0.656,1.488,0.176,0,1340001,2,0,1.16,0, 0.168, 0.328
470.lbm,470.lbm_2,3,26,0,0.115385,0.384615,1.57692,0.115385,0.0384615,101,26000,0,1.11538,0, 0.0769231, 0.269231
470.lbm,470.lbm_3,2,5,0,0.4,0.4,1.4,0,0,101,260,0,0.6,0, 0.2, 0.2
470.lbm,470.lbm_4,1,5,0,0.4,0.4,1.4,0,0,131,2,0,0.6,0, 0.2, 0.2
470.lbm,470.lbm_5,3,80,0,0.2,0.375,1.725,0.075,0.0375,101,26800,0,1.075,0, 0.05, 0.3
470.lbm,470.lbm_6,2,3,0,0.666667,0.333333,1.33333,0,0,101,268,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_7,1,3,0,0.666667,0.333333,1.33333,0,0,135,2,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_8,3,80,0,0.125,0.375,1.65,0.1125,0.025,101,0,0,1.125,0, 0.05, 0.2875
470.lbm,470.lbm_9,2,3,0,0.666667,0.333333,1.33333,0,0,101,0,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_10,1,3,0,0.666667,0.333333,1.33333,0,0,135,0,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_11,1,1153,0.222897,0.00433651,0.545533,1.49263,0.113617,0.000867303,1300001,1000,0,1.2784,0, 0.0424978, 0.392888
470.lbm,470.lbm_12,1,1117,0.244405,0.000895255,0.54521,1.48791,0.104745,0,10001,0,0,1.30081,0, 0.0340197, 0.406446
470.lbm,470.lbm_13,1,690,0.317391,0.00144928,0.505797,1.53043,0.0855072,0,10001,0,0,1.29855,0, 0.0405797, 0.382609
470.lbm,470.lbm_14,1,427,0.133489,0.0351288,0.566745,1.44731,0.128806,0.00702576,1300001,17,0,1.2623,0, 0.030445, 0.416862
470.lbm,470.lbm_15,3,771,0.0622568,0.00518807,0.40856,1.59792,0.0726329,0.00129702,101,0,0,1.26589,0, 0.00907912, 0.335927
470.lbm,470.lbm_16,2,3,0,0.666667,0.333333,1.33333,0,0,101,0,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_17,1,3,0,0.666667,0.333333,1.33333,0,0,131,0,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_18,1,12,0,0.0833333,0.583333,1.5,0.166667,0,5,0,0,1.16667,0, 0.0833333, 0.333333
470.lbm,470.lbm_19,3,798,0.0714286,0.0075188,0.41604,1.59774,0.0689223,0.00250627,101,0,0,1.27318,0, 0.0150376, 0.339599
470.lbm,470.lbm_20,2,3,0,0.666667,0.333333,1.33333,0,0,101,0,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_21,1,3,0,0.666667,0.333333,1.33333,0,0,131,0,0,0.333333,0, 0.333333, 0
470.lbm,470.lbm_22,1,12,0,0.0833333,0.583333,1.5,0.166667,0,5,0,1,1.16667,0, 0.0833333, 0.333333
470.lbm,470.lbm_23,1,25,0,0.2,0.48,2,0,0.04,1,1,0,0.72,0, 0, 0.28
