benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
471.omnetpp,471.omnetpp_1,1,35,0,0.0857143,0.428571,1.88571,0.228571,0.0285714,1,35997,0,1.17143,0, 0.0857143, 0.314286
471.omnetpp,471.omnetpp_2,1,22,0,0.0454545,0.5,2.13636,0.227273,0,1,0,0,1.13636,0, 0.0454545, 0.363636
471.omnetpp,471.omnetpp_3,1,40,0,0.1,0.55,2.475,0.075,0.025,1,0,0,1.05,0, 0, 0.275
471.omnetpp,471.omnetpp_4,1,118,0.0338983,0.059322,0.745763,1.87288,0.101695,0.00847458,1,0,2,1.13559,0, 0.0508475, 0.29661
471.omnetpp,471.omnetpp_5,1,21,0.047619,0.142857,0.571429,1.85714,0.142857,0.047619,1,0,0,1.04762,0, 0, 0.285714
471.omnetpp,471.omnetpp_6,1,43,0.0232558,0.162791,0.581395,1.72093,0.0930233,0.0465116,1,0,0,1.09302,0, 0.0465116, 0.325581
471.omnetpp,471.omnetpp_7,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
471.omnetpp,471.omnetpp_8,1,11,0,0.272727,0.363636,2.45455,0,0,1,2,0,1,0, 0, 0.363636
471.omnetpp,471.omnetpp_9,1,11,0,0.272727,0.363636,2.45455,0,0,1,2,0,1,0, 0, 0.363636
471.omnetpp,471.omnetpp_10,1,11,0,0.272727,0.363636,2.45455,0,0,1,2,0,1,0, 0, 0.363636
471.omnetpp,471.omnetpp_11,1,11,0,0.272727,0.363636,2.45455,0,0,1,2,0,1,0, 0, 0.363636
471.omnetpp,471.omnetpp_12,1,16,0,0.0625,0.4375,1.875,0.25,0,1,0,0,1.125,0, 0.0625, 0.3125
471.omnetpp,471.omnetpp_13,1,46,0,0.195652,0.456522,1.63043,0.108696,0.0434783,1,0,0,1.1087,0, 0.0434783, 0.326087
471.omnetpp,471.omnetpp_14,1,21,0,0.142857,0.47619,1.66667,0.190476,0,1,2,0,1.09524,0, 0.0952381, 0.285714
471.omnetpp,471.omnetpp_15,1,19,0,0.157895,0.526316,1.78947,0.105263,0,1,294360,0,1.15789,0, 0.157895, 0.263158
471.omnetpp,471.omnetpp_16,1,0,0,0,0,0,0,0,1,6,0,0,0, 0, 0
471.omnetpp,471.omnetpp_17,1,189,0,0.153439,0.592593,1.97354,0.0634921,0.015873,1,0,0,1.18519,0, 0.10582, 0.42328
471.omnetpp,471.omnetpp_18,2,17,0,0.176471,0.588235,2.05882,0,0,1,0,0,1.11765,0, 0, 0.470588
471.omnetpp,471.omnetpp_19,1,87,0,0.091954,0.528736,2.21839,0.091954,0.0229885,1,0,0,1.13793,0, 0.0689655, 0.367816
471.omnetpp,471.omnetpp_20,1,11,0,0.272727,0.363636,2.45455,0,0,1,0,0,1,0, 0, 0.363636
471.omnetpp,471.omnetpp_21,1,101,0,0.148515,0.594059,1.9901,0.0594059,0.029703,1,0,0,1.18812,0, 0.118812, 0.415842
471.omnetpp,471.omnetpp_22,2,17,0,0.176471,0.588235,2.05882,0,0,1,0,0,1.11765,0, 0, 0.470588
471.omnetpp,471.omnetpp_23,1,76,0,0.0921053,0.513158,2.22368,0.105263,0.0263158,1,0,0,1.13158,0, 0.0657895, 0.355263
471.omnetpp,471.omnetpp_24,1,11,0,0.272727,0.363636,2.45455,0,0,1,0,0,1,0, 0, 0.363636
471.omnetpp,471.omnetpp_25,1,101,0,0.148515,0.594059,1.9901,0.0594059,0.029703,1,0,0,1.18812,0, 0.118812, 0.415842
