benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
473.astar,473.astar_1,2,103,0,0.0873786,0.601942,1.6699,0.174757,0.0194175,1,0,0,1.23301,0, 0.0873786, 0.339806
473.astar,473.astar_2,1,205,0,0.24878,0.487805,1.8,0.0487805,0.0195122,1,0,0,0.995122,0, 0.243902, 0.234146
473.astar,473.astar_3,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
473.astar,473.astar_4,2,103,0,0.0873786,0.601942,1.6699,0.174757,0.0194175,1,1207213,0,1.23301,0, 0.0873786, 0.339806
473.astar,473.astar_5,1,215,0,0.237209,0.548837,1.70698,0.0372093,0.0186047,1,6191,0,0.986047,0, 0.24186, 0.269767
473.astar,473.astar_6,1,545,0,0.150459,0.511927,1.74679,0.165138,0.00733945,1,0,0,1.14495,0, 0.115596, 0.297248
473.astar,473.astar_7,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
473.astar,473.astar_8,1,0,0,0,0,0,0,0,1,0,0,0,0, 0, 0
473.astar,473.astar_9,2,28,0.0357143,0.142857,0.535714,1.57143,0.0714286,0.0357143,1,256,0,1.14286,0, 0.0714286, 0.392857
473.astar,473.astar_10,1,3,0,0.666667,0.333333,1.33333,0,0,1,1,0,0.333333,0, 0.333333, 0
473.astar,473.astar_11,1,59,0,0.152542,0.559322,1.81356,0.0677966,0.0338983,1,1,0,1.0678,0, 0.152542, 0.305085
473.astar,473.astar_12,1,54,0,0.166667,0.555556,1.94444,0.0740741,0.0185185,1,1,0,1.18519,0, 0.185185, 0.333333
473.astar,473.astar_13,2,7,0,0.142857,0.571429,1.42857,0.285714,0,257,250,0,1.14286,0, 0.142857, 0.285714
473.astar,473.astar_14,1,77,0,0.103896,0.532468,1.92208,0.12987,0.012987,1,1,0,1.11688,0, 0.181818, 0.246753
473.astar,473.astar_15,2,7,0,0.142857,0.571429,1.42857,0.285714,0,257,250,0,1.14286,0, 0.142857, 0.285714
473.astar,473.astar_16,1,77,0,0.103896,0.532468,1.92208,0.12987,0.012987,1,1,0,1.11688,0, 0.181818, 0.246753
473.astar,473.astar_17,1,59,0,0.152542,0.559322,1.81356,0.0677966,0.0338983,1,1,0,1.0678,0, 0.152542, 0.305085
473.astar,473.astar_18,1,54,0,0.166667,0.555556,1.94444,0.0740741,0.0185185,1,1,0,1.18519,0, 0.185185, 0.333333
473.astar,473.astar_19,1,104,0.0961538,0.00961538,0.759615,1.79808,0.134615,0,1,0,0,1.23077,0, 0.0480769, 0.336538
473.astar,473.astar_20,3,181,0.00552486,0.116022,0.563536,1.64641,0.127072,0.0165746,1,0,0,1.17127,0, 0.116022, 0.320442
473.astar,473.astar_21,2,3,0,0.666667,0.333333,1.33333,0,0,1,0,0,0.333333,0, 0.333333, 0
473.astar,473.astar_22,1,12,0,0.25,0.5,1.66667,0,0.166667,1,0,0,1,0, 0.0833333, 0.333333
473.astar,473.astar_23,1,8,0,0.25,0.375,1.75,0.125,0.125,1,0,0,1.125,0, 0, 0.375
473.astar,473.astar_24,1,8,0,0.25,0.375,1.75,0.125,0.125,1,0,0,1.125,0, 0, 0.375
473.astar,473.astar_25,3,23,0,0.130435,0.565217,1.69565,0.130435,0.0434783,1,1050123,0,1.21739,0, 0, 0.391304
473.astar,473.astar_26,2,4,0,0.5,0.5,1.25,0,0,1,350043,0,0.75,0, 0.25, 0.25
473.astar,473.astar_27,1,60,0,0.166667,0.633333,1.81667,0,0.0333333,1,4840,0,1.11667,0, 0.15, 0.35
473.astar,473.astar_28,1,25,0,0.2,0.44,1.92,0.16,0.04,1,16028,0,1.12,0, 0.16, 0.16
473.astar,473.astar_29,2,22,0,0.136364,0.545455,1.72727,0.136364,0.0454545,1,47176,0,1.22727,0, 0, 0.363636
473.astar,473.astar_30,1,4,0,0.5,0.5,1.25,0,0,1,16028,0,0.75,0, 0.25, 0.25
