benchmark, unique_loop_id, loop_nest_level, dynOp_count, floatOp_count, branchOp_count, memOp_count, operands_count, implicit_instr_count, unique_pred_count, trip_count, loop_calls, reuse_count, use_count, def_count, store_count, load_count
483.xalancbmk,483.xalancbmk_1,3,6,0,0.166667,0.333333,3.33333,0,0,1,0,0,1.83333,0, 0, 0.333333
483.xalancbmk,483.xalancbmk_2,2,43,0,0.255814,0.302326,2.88372,0.0465116,0.0465116,1,0,0,1.18605,0, 0.0465116, 0.186047
483.xalancbmk,483.xalancbmk_3,1,97,0,0.206186,0.371134,2.73196,0.0412371,0.0309278,1,0,0,1.2268,0, 0.0515464, 0.226804
483.xalancbmk,483.xalancbmk_4,1,0,0,0,0,0,0,0,1,14019,0,0,0, 0, 0
483.xalancbmk,483.xalancbmk_5,1,15,0,0.0666667,0.8,1.6,0.0666667,0,1,0,0,1.33333,0, 0, 0.6
483.xalancbmk,483.xalancbmk_6,1,14,0,0.0714286,0.785714,1.57143,0.0714286,0,1,0,0,1.28571,0, 0, 0.571429
483.xalancbmk,483.xalancbmk_7,1,183,0,0.125683,0.540984,1.65574,0.15847,0.010929,1,0,0,1.08743,0, 0.0163934, 0.338798
483.xalancbmk,483.xalancbmk_8,1,4,0,0.25,0.5,1.75,0,0.25,1,61108,0,1,0, 0, 0.5
483.xalancbmk,483.xalancbmk_9,1,198,0,0.0959596,0.590909,1.75253,0.121212,0.010101,1,0,0,1.17677,0, 0.0707071, 0.388889
483.xalancbmk,483.xalancbmk_10,1,124,0,0.0887097,0.580645,1.74194,0.112903,0.016129,1,0,0,1.15323,0, 0.0645161, 0.362903
483.xalancbmk,483.xalancbmk_11,1,98,0,0.0714286,0.581633,1.69388,0.142857,0.0204082,1,0,0,1.15306,0, 0.0408163, 0.377551
483.xalancbmk,483.xalancbmk_12,1,22,0,0.181818,0.545455,1.59091,0.136364,0.0454545,1,0,0,1,0, 0, 0.363636
483.xalancbmk,483.xalancbmk_13,1,0,0,0,0,0,0,0,1,16197,0,0,0, 0, 0
483.xalancbmk,483.xalancbmk_14,1,179,0,0.128492,0.530726,1.81006,0.134078,0.0111732,1,0,0,1.12291,0, 0.0558659, 0.357542
483.xalancbmk,483.xalancbmk_15,1,12,0,0.0833333,0.75,1.41667,0.166667,0,1,0,0,1.16667,0, 0.0833333, 0.416667
483.xalancbmk,483.xalancbmk_16,1,14,0,0.0714286,0.714286,1.57143,0.142857,0,1,0,0,1.14286,0, 0.0714286, 0.357143
483.xalancbmk,483.xalancbmk_17,1,6,0,0.166667,0.666667,1.33333,0.166667,0,1,0,0,1,0, 0.166667, 0.333333
483.xalancbmk,483.xalancbmk_18,1,12,0,0.0833333,0.75,1.41667,0.166667,0,1,0,0,1.16667,0, 0.0833333, 0.416667
483.xalancbmk,483.xalancbmk_19,1,7,0,0.142857,0.714286,1.57143,0.142857,0,1,0,0,1,0, 0.142857, 0.285714
483.xalancbmk,483.xalancbmk_20,1,26,0,0.192308,0.576923,1.61538,0.153846,0.0384615,1,0,0,1,0, 0.0384615, 0.307692
483.xalancbmk,483.xalancbmk_21,1,14,0,0.0714286,0.714286,1.57143,0.142857,0,1,0,0,1.14286,0, 0.0714286, 0.357143
483.xalancbmk,483.xalancbmk_22,1,15,0,0.2,0.533333,1.53333,0.133333,0.0666667,1,0,0,1,0, 0, 0.333333
483.xalancbmk,483.xalancbmk_23,1,16,0,0.1875,0.5,1.625,0.1875,0.0625,1,0,0,1,0, 0, 0.3125
483.xalancbmk,483.xalancbmk_24,1,7,0,0.142857,0.714286,1.42857,0.142857,0,1,0,0,1,0, 0, 0.428571
483.xalancbmk,483.xalancbmk_25,1,108,0,0.25,0.342593,2.19444,0.157407,0.00925926,1,14,0,1.01852,0, 0.0277778, 0.259259
483.xalancbmk,483.xalancbmk_26,1,3,0,0.333333,0.333333,2,0,0.333333,1,0,0,1.33333,0, 0, 0.333333
483.xalancbmk,483.xalancbmk_27,1,12,0,0.0833333,0.75,2.08333,0,0.0833333,1,54,0,1.16667,0, 0.0833333, 0.333333
483.xalancbmk,483.xalancbmk_28,2,26,0,0.230769,0.5,1.69231,0.115385,0.0384615,1,540,0,0.961538,0, 0.0384615, 0.307692
483.xalancbmk,483.xalancbmk_29,1,15,0,0.133333,0.733333,1.53333,0.133333,0,1,34,0,1.06667,0, 0.133333, 0.333333
483.xalancbmk,483.xalancbmk_30,1,12,0,0.0833333,0.75,1.41667,0.166667,0,1,81,0,1.16667,0, 0.0833333, 0.416667
483.xalancbmk,483.xalancbmk_31,1,103,0,0.252427,0.339806,2.31068,0.116505,0.0194175,1,20,0,1.05825,0, 0.0582524, 0.262136
